chapter_slug,chapter_label,duas_in_chapter,gets_static_chapter_page,collections,tier,tier_reason,keyword_rule,primary_keyword,secondary_keywords,title_tag,meta_description,keyword_was_rewritten,original_perplexity_keyword,cannibalization_flag,index_decision
invocation-for-when-you-find-something-becoming-difficult-fo,Invocation for when you find something becoming difficult for you,1,no,dua-dhikr collection,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua when you find something becoming difficult for you,dua when you find something becoming difficult for you in english; dua when you find something becoming difficult for you transliteration; dua when you find something becoming difficult for you with meaning; short dua when you find something becoming difficult for you,,,no,dua when you find something becoming difficult for you,,no chapter page — duas surface via occasion/source hubs only
invocation-for-when-you-see-the-first-dates-of-the-season,Invocation for when you see the first dates of the season,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for the first fruit of the season,,,,yes,dua when you see the first dates of the season,,no chapter page — duas surface via occasion/source hubs only
invocation-for-when-your-vehicle-or-mount-begins-to-fail,Invocation for when your vehicle or mount begins to fail,1,no,dua-dhikr collection,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for vehicle trouble,,,,yes,dua when your vehicle or mount begins to fail,,no chapter page — duas surface via occasion/source hubs only
invocation-to-be-recited-after-burying-the-dead,Invocation to be recited after burying the dead,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for after burying the dead,dua for after burying the dead in english; dua for after burying the dead transliteration; dua for after burying the dead with meaning; short dua for after burying the dead,,,no,dua for after burying the dead,,no chapter page — duas surface via occasion/source hubs only
invocation-to-be-recited-before-intercourse,Invocation to be recited before intercourse,1,no,Hisn al-Muslim,B,"B - Medium volume, sensitive topic",use_as_is,dua before intimacy in islam,dua before intercourse islam; islamic dua before marital relations,,,no,dua before intimacy in islam,,no chapter page — duas surface via occasion/source hubs only
invocation-to-be-recited-between-the-yemenite-corner-and-the,Invocation to be recited between the Yemenite Corner and the Black Stone,1,no,dua-dhikr collection,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for between the yemenite corner and the black stone,dua for between the yemenite corner and the black stone in english; dua for between the yemenite corner and the black stone transliteration; dua for between the yemenite corner and the black stone with meaning; short dua for between the yemenite corner and the black stone,,,no,dua for between the yemenite corner and the black stone,,no chapter page — duas surface via occasion/source hubs only
invocation-to-be-recited-on-the-day-of-arafat,Invocation to be recited on the Day of Arafat,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for the day of arafat,,,,yes,dua for on the day of arafat,,no chapter page — duas surface via occasion/source hubs only
invocation-to-be-recited-when-placing-the-dead-in-his-grave,Invocation to be recited when placing the dead in his grave,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua when placing the dead in his grave,dua when placing the dead in his grave in english; dua when placing the dead in his grave transliteration; dua when placing the dead in his grave with meaning; short dua when placing the dead in his grave,,,no,dua when placing the dead in his grave,,no chapter page — duas surface via occasion/source hubs only
invocation-to-be-recited-while-standing-at-safa-and-marwah,Invocation to be recited while standing at Safa and Marwah,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua at safa and marwah,,,,yes,dua for while standing at safa and marwah,,no chapter page — duas surface via occasion/source hubs only
invocation-to-say-if-you-stir-in-the-night,Invocation to say if you stir in the night,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua when waking in the night,,,,yes,dua for you stir in the night,,no chapter page — duas surface via occasion/source hubs only
invocation-upon-hearing-a-dog-barking-in-the-night,Invocation upon hearing a dog barking in the night,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua when hearing a dog bark at night,,,,yes,dua for hearing a dog barking in the night,,no chapter page — duas surface via occasion/source hubs only
invocation-upon-hearing-the-cocks-crow-or-the-bray-of-a-donk,Invocation upon hearing the cock's crow or the bray of a donkey,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for hearing the cocks crow or the bray of a donkey,dua for hearing the cocks crow or the bray of a donkey in english; dua for hearing the cocks crow or the bray of a donkey transliteration; dua for hearing the cocks crow or the bray of a donkey with meaning; short dua for hearing the cocks crow or the bray of a donkey,,,no,dua for hearing the cocks crow or the bray of a donkey,,no chapter page — duas surface via occasion/source hubs only
invocation-upon-receipt-of-the-loan-for-someone-who-lends-yo,Invocation (upon receipt of the loan) for someone who lends you money,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for invocation  for someone who lends you money,dua for invocation  for someone who lends you money in english; dua for invocation  for someone who lends you money transliteration; dua for invocation  for someone who lends you money with meaning; short dua for invocation  for someone who lends you money,,,no,dua for invocation  for someone who lends you money,,no chapter page — duas surface via occasion/source hubs only
invocation-when-getting-dressed,Invocation when getting dressed,1,no,dua-dhikr collection,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for getting dressed,dua for getting dressed in english; dua for getting dressed transliteration; dua for getting dressed with meaning; short dua for getting dressed,,,no,dua for getting dressed,,no chapter page — duas surface via occasion/source hubs only
invocation-when-putting-on-new-clothes,Invocation when putting on new clothes,1,no,dua-dhikr collection,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for putting on new clothes,dua for putting on new clothes in english; dua for putting on new clothes transliteration; dua for putting on new clothes with meaning; short dua for putting on new clothes,,,no,dua for putting on new clothes,,no chapter page — duas surface via occasion/source hubs only
istikharah-seeking-allahs-counsel,Istikharah (seeking Allah's Counsel),1,no,Hisn al-Muslim,B,B - Medium-high volume / easy-medium competition,use_as_is,how to pray istikhara,,,,yes,dua for istikhara,COLLISION: 'dua for istikhara' is owned by FAMOUS rank 17. Chapter page must target the plural/list variant or be noindex.,no chapter page — duas surface via occasion/source hubs only
saying-allahu-akbar-when-passing-the-black-stone,Saying Allahu Akbar when passing the Black Stone,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,takbir at the black stone,,,,yes,dua for allahu akbar when passing the black stone,,no chapter page — duas surface via occasion/source hubs only
spreading-the-greetings-of-salam-peace,spreading the greetings of Salam (Peace),1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,islamic greeting salam,,,,yes,dua for the greetings of salam,,no chapter page — duas surface via occasion/source hubs only
supplication-after-it-rains,Supplication after it rains,1,no,dua-dhikr collection,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua after rain,,,,yes,dua for it rains,,no chapter page — duas surface via occasion/source hubs only
the-book-on-al-witr-kitab-al-witr,The Book on Al-Witr (Kitab al-Witr),1,no,Jami at-Tirmidhi,C,C - Long-tail volume / near-zero competition (easy win),derive_per_entry_from_translation,,,,,no,dua for the book on al-witr,,no chapter page — duas surface via occasion/source hubs only
the-expiation-of-assembly-kaffaratul-majlis,The Expiation of Assembly - Kaffaratul-Majlis,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,kaffaratul majlis,,,,yes,dua for the expiation of assembly - kaffaratul-majlis,,no chapter page — duas surface via occasion/source hubs only
the-grooms-supplication-on-the-wedding-night-or-when-buying-,The groom's supplication on the wedding night or when buying an animal,1,no,Hisn al-Muslim,B,B - Medium volume,use_as_is,dua for wedding night,dua for groom on wedding night; islamic marriage night dua,,,no,dua for wedding night,,no chapter page — duas surface via occasion/source hubs only
the-pilgrims-announcement-of-his-arrival-for-hajj-or-umrah,The pilgrim's announcement of his arrival for Hajj or Umrah,1,no,Other source,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,talbiyah,,,,yes,dua for announcement of his arrival for hajj or umrah,,no chapter page — duas surface via occasion/source hubs only
the-travelers-invocation-at-dawn,The traveler's invocation at dawn,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for the traveller at dawn,,,,yes,dua for invocation at dawn,,no chapter page — duas surface via occasion/source hubs only
the-travelers-invocation-for-the-one-he-leaves-behind,The traveler's invocation for the one he leaves behind,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua before leaving family for a journey,,,,yes,dua for invocation for the one he leaves behind,,no chapter page — duas surface via occasion/source hubs only
types-of-goodness-and-good-etiquette-for-community-life,Types of goodness and good etiquette for community life,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,islamic etiquette of community life,,,,yes,dua for goodness and good etiquette for community life,,no chapter page — duas surface via occasion/source hubs only
vocation-for-someone-who-says-may-allah-forgive-you,vocation for someone who says: May Allah forgive you,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,reply to may allah forgive you,,,,yes,dua for vocation for someone who says: may allah forgive you,,no chapter page — duas surface via occasion/source hubs only
what-a-muslim-should-say-when-he-is-praised,What a Muslim should say when he is praised,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,what to say when someone praises you,,,,yes,dua for he is praised,,no chapter page — duas surface via occasion/source hubs only
what-to-encourage-the-dying-person-to-say,What to encourage the dying person to say,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,talqeen for the dying,,,,yes,dua for the dying person to say,,no chapter page — duas surface via occasion/source hubs only
what-to-say-and-do-if-you-commit-a-sin,What to say and do if you commit a sin,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua after committing a sin,,,,yes,dua for you commit a sin,,no chapter page — duas surface via occasion/source hubs only
what-to-say-before-performing-ablution,What to say before performing ablution,1,no,dua-dhikr collection,B,B - Medium volume,use_as_is,dua before wudu,bismillah before wudu; dua before ablution,,,no,dua before wudu,,no chapter page — duas surface via occasion/source hubs only
what-to-say-if-something-happens-to-please-you-or-to-displea,What to say if something happens to please you or to displease you,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for something happens to please you or to displease you,dua for something happens to please you or to displease you in english; dua for something happens to please you or to displease you transliteration; dua for something happens to please you or to displease you with meaning; short dua for something happens to please you or to displease you,,,no,dua for something happens to please you or to displease you,,no chapter page — duas surface via occasion/source hubs only
what-to-say-if-you-are-afraid-to-go-to-sleep-or-feel-lonely-,What to say if you are afraid to go to sleep or feel lonely and depressed,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for you are afraid to go to sleep or feel lonely and depressed,dua for you are afraid to go to sleep or feel lonely and depressed in english; dua for you are afraid to go to sleep or feel lonely and depressed transliteration; dua for you are afraid to go to sleep or feel lonely and depressed with meaning; short dua for you are afraid to go to sleep or feel lonely and depressed,,,no,dua for you are afraid to go to sleep or feel lonely and depressed,,no chapter page — duas surface via occasion/source hubs only
what-to-say-if-you-fear-people-may-harm-you,What to say if you fear people may harm you,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for protection from harm from people,,,,yes,dua for you fear people may harm you,,no chapter page — duas surface via occasion/source hubs only
what-to-say-if-you-see-someone-afflicted-by-misfortune,What to say if you see someone afflicted by misfortune,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua when seeing someone in hardship,,,,yes,dua for you see someone afflicted by misfortune,,no chapter page — duas surface via occasion/source hubs only
what-to-say-immediately-following-the-witr-prayer,What to say immediately following the Witr prayer,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua after witr,,,,yes,dua for what to say immediately following the witr prayer,,no chapter page — duas surface via occasion/source hubs only
what-to-say-to-foil-the-devils-plots,What to say to foil the devil's plots,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua against shaytan,,,,yes,dua for foil the devils plots,,no chapter page — duas surface via occasion/source hubs only
what-to-say-to-the-disbeliever-if-he-sneezes-and-praises-all,What to say to the disbeliever if he sneezes and praises Allah,1,no,dua-dhikr collection,C,C - Long-tail / very low competition,use_as_is,reply to non-muslim sneezing,what to say if a non-muslim sneezes,,,no,reply to non-muslim sneezing,,no chapter page — duas surface via occasion/source hubs only
what-to-say-upon-returning-from-a-journey,What to say upon returning from a Journey,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for returning from a journey,dua for returning from a journey in english; dua for returning from a journey transliteration; dua for returning from a journey with meaning; short dua for returning from a journey,,,no,dua for returning from a journey,,no chapter page — duas surface via occasion/source hubs only
what-to-say-when-entering-the-home,What to say when entering the home,1,no,Hisn al-Muslim,B,B - Medium volume / low competition,use_as_is,dua for entering the house,dua when entering home; entering house dua in english,,,no,dua for entering the house,COLLISION: 'dua for entering the house' is owned by HUB occasion/home-clothing. Chapter page must target the plural/list variant or be noindex.,no chapter page — duas surface via occasion/source hubs only
what-to-say-when-slaughtering-or-sacrificing-an-animal,What to say when slaughtering or sacrificing an animal,1,no,Hisn al-Muslim,B,"B - Medium volume, seasonal spike (Eid al-Adha)",use_as_is,dua for qurbani,dua before slaughtering animal; qurbani dua in english; eid al adha sacrifice dua,,,no,dua for qurbani,,no chapter page — duas surface via occasion/source hubs only
what-to-say-when-undressing,What to say when undressing,1,no,dua-dhikr collection,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for undressing,dua for undressing in english; dua for undressing transliteration; dua for undressing with meaning; short dua for undressing,,,no,dua for undressing,,no chapter page — duas surface via occasion/source hubs only
what-to-say-when-you-are-fasting-and-someone-is-rude-to-you,What to say when you are fasting and someone is rude to you,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,what to say when insulted while fasting,,,,yes,dua for you are fasting and someone is rude to you,,no chapter page — duas surface via occasion/source hubs only
what-to-say-when-you-fear-you-may-afflict-something-with-the,What to say when you fear you may afflict something with the evil eye,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for you fear you may afflict something with the evil eye,dua for you fear you may afflict something with the evil eye in english; dua for you fear you may afflict something with the evil eye transliteration; dua for you fear you may afflict something with the evil eye with meaning; short dua for you fear you may afflict something with the evil eye,,,no,dua for you fear you may afflict something with the evil eye,,no chapter page — duas surface via occasion/source hubs only
what-to-say-when-you-feel-a-pain-in-your-body,What to say when you feel a pain in your body,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for pain in the body,,,,yes,dua for you feel a pain in your body,,no chapter page — duas surface via occasion/source hubs only
what-to-say-when-you-feel-frightened,What to say when you feel frightened,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua when frightened,,,,yes,dua for you feel frightened,,no chapter page — duas surface via occasion/source hubs only
what-to-say-while-sitting-in-an-assembly,What to say while sitting in an assembly,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua while sitting in a gathering,,,,yes,dua for sitting in an assembly,,no chapter page — duas surface via occasion/source hubs only
