rank,dua_name,content_type,source_ref,canonical_owner,canonical_note,primary_keyword,secondary_keywords,title_tag,meta_description,unique_value_required,build_wave,why_high_value,corpus_id,build_status,status_note
39,Dua of Ibrahim and Ismail (building the Kaaba),quran_verse,Quran 2:127,duas,Dua page owns this head term; cross-link only,dua of ibrahim and ismail,rabbana taqabbal minna meaning; dua while building the kaaba,Dua of ibrahim and ismail – Arabic & English Meaning,"Dua of ibrahim and ismail in Arabic with transliteration and English translation, sourced from the Qur'an (2:127).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Popular during Hajj season content searches; pairs well with the Hajj & Umrah occasion hub.,quran:2:127,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
40,Dua of Ayyub (Job) for healing,quran_verse,Quran 21:83,duas,Dua page owns this head term; cross-link only,dua of ayyub for healing,anni massaniyad-durru meaning; prophet ayyub dua for illness and patience,"Dua of ayyub for healing – Arabic, Transliteration & Meaning","Dua of ayyub for healing in Arabic with transliteration and English translation, sourced from the Qur'an (21:83).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,"Strong 'patience in hardship' search intent,  popular in illness-related content clusters.",quran:21:83,ready,"Ingested Session 0.6 (Pickthall, resource_id 19). build_gate = awaiting-original-rendering. Full-ayah record: needs verified dua_clause_arabic."
41,Dua of Nuh for forgiveness,quran_verse,Quran 11:47,duas,Dua page owns this head term; cross-link only,dua of nuh,rabbi inni a'udhu bika meaning; prophet nuh dua for forgiveness,"Dua of nuh – Arabic, Transliteration & Meaning","Dua of nuh in Arabic with transliteration and English translation, with the full source reference from the Qur'an (11:47) and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,"Moderate volume,  valuable for a 'duas of the prophets' content series that internally links many Quranic dua pages together.",quran:11:47,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
42,Dua of Adam and Hawa (repentance),quran_verse,Quran 7:23,duas,Dua page owns this head term; cross-link only,dua of adam and hawa,rabbana zalamna anfusana meaning; dua of adam for forgiveness,"Dua of adam and hawa – Arabic, Transliteration & Meaning","Dua of adam and hawa in Arabic with transliteration and English translation, with the full source reference from the Qur'an (7:23) and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,"One of the most recognizable 'dua of the prophets' - very shareable,  good for a prophets'-duas content hub.",quran:7:23,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
43,Dua of Yusuf (a good death upon faith),quran_verse,Quran 12:101,duas,Dua page owns this head term; cross-link only,dua of yusuf,rabbi qad ataytani minal mulk meaning; dua for a good ending (husn al-khatimah),"Dua of yusuf – Arabic, Transliteration & Meaning","Dua of yusuf in Arabic with transliteration and English translation, with the full source reference from the Qur'an (12:101) and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Ties into the popular 'husn al-khatimah' (good ending) search trend.,quran:12:101,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
44,Dua against heart deviation,quran_verse,Quran 3:8,duas,Dua page owns this head term; cross-link only,dua for a steadfast heart,rabbana la tuzigh qulubana meaning; dua against heart deviation from faith,Dua for a steadfast heart – Arabic & English Meaning,"Dua for a steadfast heart in Arabic with transliteration and English translation, sourced from the Qur'an (3:8).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,"Popular short memorized dua,  frequently quoted on social media.",quran:3:8,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
45,Dua for firm feet in hardship,quran_verse,Quran 3:147,duas,Dua page owns this head term; cross-link only,dua for firmness and forgiveness in battle,rabbanaghfir lana dhunubana wa israfana meaning; dua for steadfastness in difficulty,Dua for firmness and forgiveness in battle,"Dua for firmness and forgiveness in battle in Arabic with transliteration and English translation, sourced from the Qur'an (3:147).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Moderate volume; pairs with the distress/anxiety occasion cluster.,quran:3:147,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
46,Dua for light on the Day of Judgment,quran_verse,Quran 66:8,duas,Dua page owns this head term; cross-link only,dua for light on judgement day,rabbana atmim lana nurana meaning; dua for nur (light) in the hereafter,Dua for light on judgement day – Arabic & English Meaning,"Dua for light on judgement day in Arabic with transliteration and English translation, sourced from the Qur'an (66:8).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Niche but consistently searched among Quran-study audiences.,quran:66:8,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
47,Dua for fulfillment of Allah's promise,quran_verse,Quran 3:194,duas,Dua page owns this head term; cross-link only,dua for allah's promise,rabbana wa aatina ma wa'adtana meaning,"Dua for allah's promise – Arabic, Transliteration & Meaning","Dua for allah's promise in Arabic with transliteration and English translation, sourced from the Qur'an (3:194).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Lower volume; good for completeness of a full 'Rabbana duas' listicle page.,quran:3:194,ready,"Ingested Session 0.6 (Pickthall, resource_id 19). build_gate = awaiting-original-rendering. Full-ayah record: needs verified dua_clause_arabic."
48,Dua at Safa and Marwah,hadith_dua,Hisn al-Muslim (invocation-to-be-recited-while-standing-at-safa-and-marwah),duas,Dua page owns this head term; cross-link only,dua at safa and marwah,dua during sa'i in english; safa and marwah dua transliteration,"Dua at safa and marwah – Arabic, Transliteration & Meaning","Dua at safa and marwah in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,"Hajj/Umrah seasonal search,  pairs with Talbiyah and Day of Arafat pages.",118:236,ready,
49,Dua between the Yemenite Corner and Black Stone,hadith_dua,Hisn al-Muslim / dua-dhikr collection,duas,Dua page owns this head term; cross-link only,dua during tawaf,dua between yemeni corner and black stone meaning; rabbana atina dua during hajj,"Dua during tawaf – Arabic, Transliteration & Meaning","Dua during tawaf in Arabic with transliteration and English translation, sourced from Hisn al-Muslim / dua-dhikr collection.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Hajj/Umrah seasonal search; reinforces the famous 2:201 verse in a pilgrimage-specific context.,117:235,ready,
50,Dua for the groom (Barakallahu laka),hadith_dua,Hisn al-Muslim (invocation-for-the-groom),duas,Dua page owns this head term; cross-link only,barakallahu laka dua,islamic wedding dua for groom; barakallahu laka wa baraka alayka meaning,"Barakallahu laka dua – Arabic, Transliteration & Meaning","Barakallahu laka dua in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Extremely well recognized wedding-congratulation phrase in Muslim communities worldwide - high shareability.,79:190,ready,
